Year,Global,NH,SH,WNP,ENP,NA,SI,SP,NI,WNP_RH600,WNP_RV850,WNP_AV850,WNP_VWS,WNP_W500,WNP_SST,WNP_SSS,WNP_MLD,WNP_D26,WNP_T100,WNP_TCHP,WNP_MPI,ENP_RH600,ENP_RV850,ENP_AV850,ENP_VWS,ENP_W500,ENP_SST,ENP_SSS,ENP_MLD,ENP_D26,ENP_T100,ENP_TCHP,ENP_MPI,NA_RH600,NA_RV850,NA_AV850,NA_VWS,NA_W500,NA_SST,NA_SSS,NA_MLD,NA_D26,NA_T100,NA_TCHP,NA_MPI,SI_RH600,SI_RV850,SI_AV850,SI_VWS,SI_W500,SI_SST,SI_SSS,SI_MLD,SI_D26,SI_T100,SI_TCHP,SI_MPI,SP_RH600,SP_RV850,SP_AV850,SP_VWS,SP_W500,SP_SST,SP_SSS,SP_MLD,SP_D26,SP_T100,SP_TCHP,SP_MPI,NI_RH600,NI_RV850,NI_AV850,NI_VWS,NI_W500,NI_SST,NI_SSS,NI_MLD,NI_D26,NI_T100,NI_TCHP,NI_MPI,Global_RH600,Global_RV850,Global_AV850,Global_VWS,Global_W500,Global_SST,Global_SSS,Global_MLD,Global_D26,Global_T100,Global_TCHP,Global_MPI
1990,88,65,23,30,21,14,16,7,0,58.316395,2.23E-06,3.98E-05,9.680163,-0.04143381,28.682152,34.16299,30.09313,76.45426,27.980925,65.04067,74.71119,64.97408,-5.22E-07,3.10E-05,6.881902,-0.0353908,27.934175,33.462982,23.771814,40.117115,25.083727,27.442602,72.97516,59.220547,6.49E-07,3.21E-05,12.004476,-0.014415718,27.231085,35.782093,25.557749,38.7019,25.481895,22.162317,67.81161,54.8837,-5.83E-06,-3.11E-05,7.261872,-0.03102201,28.358107,34.320522,25.862967,54.01267,26.851316,44.239918,77.043755,54.157803,-3.87E-06,-3.53E-05,11.979535,-0.04351637,28.778185,34.60388,31.522493,102.15317,28.352905,89.65949,79.490326,56.62047,3.43E-06,3.49E-05,24.24826,-0.020854324,28.239431,34.491,34.79072,65.18609,27.309082,41.875786,70.285286,58.028828,2.58E-06,3.40E-05,12.009368,-0.031105505,28.203856,34.470577,28.599813,62.77087,26.843307,48.40347,73.71955
1991,67,50,17,29,14,7,12,5,0,57.124134,1.95E-06,3.95E-05,9.133789,-0.037173618,28.691893,34.14523,30.297152,73.59824,27.871733,61.883533,74.27336,63.25622,-9.79E-07,3.05E-05,6.341534,-0.03607467,27.926325,33.478214,23.507421,40.11383,25.256151,28.630468,72.22201,57.20991,4.73E-07,3.20E-05,13.797664,-0.011343986,26.71422,35.93303,26.89083,32.957508,25.007126,15.326035,62.82816,50.186993,-5.86E-06,-3.12E-05,8.292251,-0.02041509,28.555826,34.293743,26.099401,53.966457,26.903067,46.18921,79.05779,57.40828,-2.54E-06,-3.40E-05,10.423986,-0.03945702,28.863432,34.550163,28.525492,101.829865,28.500458,99.3721,79.505516,56.046284,3.01E-06,3.45E-05,22.979784,-0.026419064,28.424528,34.551384,34.61922,65.77658,27.517057,46.50919,72.017845,56.871975,2.14E-06,3.36E-05,11.828168,-0.028480573,28.196037,34.491962,28.323252,61.37375,26.8426,49.651752,73.31745
1992,88,64,24,29,29,6,12,12,0,55.02264,1.25E-06,3.88E-05,9.103496,-0.03344782,28.593863,34.439236,33.029797,79.36012,27.958496,64.07944,74.42997,64.380936,-5.60E-07,3.09E-05,7.011741,-0.03769319,27.87264,33.505474,25.82515,45.730366,25.678276,30.63931,72.71928,57.335236,2.95E-07,3.18E-05,13.799965,-0.008260966,26.780634,35.85488,27.34633,35.925014,25.139494,16.610949,65.77626,58.421703,-4.90E-06,-3.02E-05,8.116411,-0.034153763,28.409666,34.175777,24.668608,56.66039,27.036825,46.78094,77.93305,51.065693,-4.74E-06,-3.62E-05,10.335723,-0.039415736,28.540121,34.85094,30.92953,85.76423,28.048807,71.33676,78.23733,55.80168,4.74E-06,3.62E-05,22.218773,-0.0268802,28.262344,34.604504,34.272343,65.269356,27.326765,41.199432,72.25073,57.00465,2.56E-06,3.40E-05,11.764351,-0.02997528,28.076546,34.571804,29.345293,61.45158,26.864779,45.107807,73.55777
1993,75,52,23,29,15,8,11,12,0,55.28009,1.23E-06,3.88E-05,8.039772,-0.031046042,28.796364,34.33794,29.998117,76.84287,27.949057,64.1896,76.460304,63.377354,-7.66E-07,3.07E-05,6.4158998,-0.03615767,27.90657,33.606186,24.303345,41.27701,25.301218,27.51795,73.00242,57.783478,1.17E-06,3.27E-05,12.9743395,-0.009398684,26.826323,35.94296,27.301733,33.91772,25.187143,16.906708,64.56965,51.6611,-6.46E-06,-3.18E-05,8.132074,-0.024702387,28.18537,34.40724,24.73683,47.478043,26.275824,35.253857,77.2237,56.077663,-4.10E-06,-3.56E-05,11.170484,-0.03806684,28.341545,34.62033,30.91072,85.65261,27.944078,71.203285,76.88007,57.77373,3.69E-06,3.52E-05,22.96031,-0.025588743,28.43872,34.601936,34.15976,67.79658,27.50061,46.074116,72.80843,56.992237,2.65E-06,3.41E-05,11.615479,-0.027493397,28.082483,34.5861,28.568419,58.827473,26.692987,43.524258,73.49076
1994,89,62,27,34,21,7,21,6,0,54.819565,1.99E-06,3.96E-05,9.653272,-0.03491236,28.787912,34.149796,30.963121,76.34805,28.007357,67.20797,76.57835,63.079357,-8.83E-07,3.06E-05,5.497028,-0.028607644,28.015646,33.60828,20.900877,39.249744,25.16334,28.19278,74.054886,53.18323,1.20E-06,3.27E-05,11.849292,-0.003267578,26.58686,35.92371,25.221634,28.02874,24.735926,12.905846,62.11945,50.232998,-7.29E-06,-3.26E-05,8.357309,-0.025095144,28.104841,34.321003,24.348772,49.27332,26.424698,34.85446,76.296104,57.537395,-1.72E-06,-3.32E-05,9.573262,-0.04189041,28.76712,34.40801,28.666327,94.43637,28.295172,88.57023,79.544426,59.709915,1.78E-06,3.33E-05,23.722357,-0.027543098,28.192825,34.615543,35.420185,65.92917,27.32489,42.38656,71.22611,56.427074,2.18E-06,3.36E-05,11.442086,-0.026886038,28.075869,34.504387,27.586817,58.877563,26.658564,45.68631,73.30322
1995,73,54,19,25,10,19,14,5,0,57.08582,-5.47E-07,3.70E-05,7.5681396,-0.033521533,29.277725,34.19093,29.300406,77.97379,28.368341,77.33954,79.94453,62.871304,-2.87E-07,3.12E-05,9.5691185,-0.033543527,27.794481,33.666275,22.330435,35.935013,24.61705,21.308037,72.36106,59.14587,9.30E-07,3.24E-05,12.675755,-0.01618258,27.506826,35.87314,24.701935,41.2744,25.675186,25.973059,70.51687,52.676357,-6.47E-06,-3.18E-05,8.404102,-0.026446437,28.438698,34.30446,23.138319,49.493835,26.726255,39.963505,78.95997,56.444294,-1.72E-06,-3.32E-05,10.476466,-0.04127677,28.985346,34.504837,25.625107,92.953094,28.462042,91.884674,82.01006,57.357,4.54E-06,3.60E-05,22.80432,-0.025298009,28.517183,34.586597,33.659206,65.60932,27.54123,47.433605,72.713844,57.596775,2.14E-06,3.36E-05,11.916317,-0.029378144,28.420044,34.521038,26.459236,60.539906,26.898352,50.650402,76.08439
1996,77,52,25,31,8,13,17,8,0,57.28513,1.07E-07,3.77E-05,7.2890677,-0.036431145,29.168556,34.112003,30.342873,82.089325,28.367569,80.25968,79.27834,59.82375,-1.80E-06,2.97E-05,7.568836,-0.025248414,27.872896,33.617496,22.187775,35.910065,24.611076,22.3667,74.49377,55.540894,1.25E-06,3.27E-05,14.164673,-0.012397786,27.14945,35.880352,28.345062,36.135044,25.276434,19.207794,68.82228,54.046886,-7.22E-06,-3.25E-05,8.153572,-0.0289084,28.445055,34.2719,21.395212,44.327454,26.206833,35.303307,79.706245,57.71022,-6.79E-07,-3.22E-05,10.146058,-0.049863126,29.088501,34.629406,31.866102,108.53522,28.676102,110.1565,83.42182,57.54167,4.24E-06,3.57E-05,22.337126,-0.028869165,28.233507,34.517433,34.41482,66.42089,27.426298,44.29302,72.5645,56.991425,1.95E-06,3.34E-05,11.609889,-0.03028634,28.326326,34.504765,28.091974,62.236332,26.76072,51.931168,76.38116
1997,86,55,31,29,19,7,15,16,0,53.542164,1.42E-06,3.90E-05,9.025319,-0.026023785,28.798048,34.216858,28.064262,65.92034,27.715494,56.9583,76.73678,66.69574,1.02E-07,3.16E-05,7.174399,-0.054152135,28.703598,33.558563,21.791525,44.49716,26.01386,40.436436,78.01501,57.26437,1.06E-07,3.16E-05,12.259999,-0.007403344,27.387438,35.756702,25.310656,39.700977,25.45642,23.263224,69.303215,50.77135,-5.31E-06,-3.06E-05,10.172721,-0.025580838,28.361517,34.35669,25.720465,51.05847,26.537615,42.169586,79.27368,55.640385,-3.70E-06,-3.52E-05,11.688854,-0.045890305,28.749002,34.821323,32.899807,107.13455,28.383081,95.84274,80.19573,58.58906,2.73E-07,3.18E-05,20.570738,-0.025327576,28.886522,34.598186,33.613857,69.41596,27.90032,55.637543,75.95839,57.083843,1.82E-06,3.33E-05,11.815338,-0.030729664,28.48102,34.551388,27.900095,62.95458,27.001131,52.38464,76.58047
1998,72,43,29,16,13,14,10,19,0,56.492645,-1.69E-06,3.59E-05,8.789204,-0.03178339,29.446585,34.544254,32.449085,95.474266,28.82915,98.51615,80.38144,66.500244,-1.76E-07,3.13E-05,9.030091,-0.043988448,28.13252,33.72642,25.971895,45.41585,25.89817,32.93794,74.43162,58.198917,1.26E-06,3.27E-05,12.933122,-0.013038938,27.50649,35.890217,26.309738,43.39616,25.692736,28.344156,69.34963,54.470043,-6.24E-06,-3.15E-05,8.227853,-0.031736355,29.095734,34.434734,25.94532,59.877064,27.478792,62.22258,81.21587,55.34586,-3.79E-06,-3.53E-05,12.038612,-0.045390427,28.867048,34.888477,26.487814,79.50033,28.110466,68.30465,78.93025,59.694366,5.18E-06,3.67E-05,24.413836,-0.030028028,28.797081,34.595016,33.797405,66.32183,27.680183,52.639988,74.55482,58.450348,2.43E-06,3.39E-05,12.57212,-0.03266093,28.64091,34.67985,28.493544,64.99758,27.28158,57.160908,76.47727
1999,65,42,23,20,10,12,14,9,0,63.55866,-9.39E-08,3.75E-05,8.788924,-0.046015304,29.226538,34.32348,33.00505,98.48267,28.644157,96.007324,81.055695,63.16866,-5.15E-07,3.10E-05,11.084606,-0.028233176,27.437872,33.762062,22.012339,32.846237,24.357582,17.232323,71.76893,58.38532,1.87E-06,3.33E-05,11.364018,-0.014882628,27.067327,35.758945,23.162127,35.37251,25.18863,20.129301,67.3264,47.839123,-8.67E-06,-3.40E-05,9.866319,-0.014604804,28.221352,34.56895,22.520386,45.196743,25.867828,33.60632,79.7711,64.78442,2.36E-06,-2.91E-05,10.35889,-0.05367428,28.97653,34.489464,29.716196,99.05468,28.45164,94.68295,83.36479,56.481014,3.02E-06,3.45E-05,25.10584,-0.022698032,28.304152,34.66533,34.51805,64.362015,27.271128,41.588905,73.418816,59.036198,1.76E-06,3.32E-05,12.761433,-0.030018037,28.205627,34.594704,27.489023,62.55248,26.630163,50.541183,76.11762
